評価対象チーム番号,評価項目：没入感・臨場感,評価項目：一体感・同期の心地よさ,評価項目：演出の華やかさ,評価項目：楽しさ・高揚感,システム全体に対するご意見・ご感想（任意）
23,5,6,5,6,
23,6,5,4,6,
23,7,6,6,6,bpm変更を指揮棒にしたことがよかった
23,7,6,7,7,
23,7,7,7,7,
23,7,7,5,7,
23,7,7,6,7,
23,7,7,7,7,
23,7,6,5,7,
23,7,7,6,7,
23,7,7,6,7,
23,5,7,5,6,
23,4,6,4,6,
23,7,7,6,7,自分の動きでテンポなどを決められるので、没入感がダントツで高いなと感じました。
23,5,6,3,6,
23,6,6,4,5,
23,6,6,4,5,
23,7,7,4,7,システムとしては
23,6,6,5,5,
23,6,7,6,7,
23,5,6,5,5,
23,5,5,5,5,
23,6,7,5,7,
23,7,7,7,7,
23,7,5,6,7,自分も指揮者の棒を振ることが出来てとても楽しかった。すげえ
23,5,5,5,6,
23,7,6,7,7,
23,7,6,7,7,
23,6,4,7,5,
23,5,5,4,6,
23,6,6,5,7,指揮者できる
23,7,7,4,7,指揮者を体験できる楽しさがあった
23,5,7,4,5,
23,5,6,5,6,
23,6,5,7,7,
23,6,7,4,7,
23,6,5,5,6,
23,7,6,5,7,
23,7,4,4,7,
23,3,5,3,2,
23,6,5,6,6,
23,6,7,4,5,
23,6,6,2,5,
