millis,event,seq,timestampMs,partId,noteNumber,velocity,gate,durationMs
15328,serial_connected_/dev/cu.usbmodem34B7DA64482C2,,,,,,,
15787,NOTE以外のtype: 4,40,39258,0x04,0,0,0,767
16811,NOTE以外のtype: 4,41,40275,0x04,0,0,0,767
17844,NOTE以外のtype: 4,42,41300,0x04,0,0,0,767
18847,NOTE以外のtype: 4,43,42316,0x04,0,0,0,767
19492,NOTE以外のtype: 4,44,42931,0x02,0,0,0,767
20504,NOTE以外のtype: 4,45,43955,0x02,0,0,0,767
21516,NOTE以外のtype: 4,46,44977,0x02,0,0,0,767
22383,NOTE以外のtype: 4,47,45825,0x02,0,0,0,767
23404,NOTE以外のtype: 4,48,46845,0x02,0,0,0,767
24173,NOTE以外のtype: 4,49,47627,0x02,0,0,0,767
25212,NOTE以外のtype: 4,50,48648,0x02,0,0,0,767
26234,NOTE以外のtype: 4,51,49674,0x02,0,0,0,767
27094,NOTE以外のtype: 4,52,50525,0x02,0,0,0,767
27702,NOTE以外のtype: 4,53,51137,0x02,0,0,0,767
28715,NOTE以外のtype: 4,54,52145,0x02,0,0,0,767
29711,NOTE以外のtype: 4,55,53146,0x02,0,0,0,767
30730,NOTE以外のtype: 4,56,54153,0x02,0,0,0,767
31718,NOTE以外のtype: 4,57,55153,0x02,0,0,0,767
32742,NOTE以外のtype: 4,58,56160,0x02,0,0,0,767
33748,NOTE以外のtype: 4,59,57164,0x02,0,0,0,767
34750,NOTE以外のtype: 4,60,58167,0x02,0,0,0,767
35763,NOTE以外のtype: 4,61,59174,0x02,0,0,0,767
37003,serial_connected_/dev/cu.debug-console,,,,,,,
